repository_name,date,clones,unique_visitors/cloners
GraphOne,2020-03-10,2,1
GraphOne,2020-03-13,2,2
GraphOne,2020-03-15,1,1
GraphOne,2020-03-16,1,1
GraphOne,2020-03-17,4,1
GraphOne,2020-03-19,1,1
GraphOne,2020-03-20,3,3
