repository_name,date,views,unique_visitors/cloners
GraphOne,2020-02-17,21,2
GraphOne,2020-02-18,50,2
GraphOne,2020-02-19,1,1
GraphOne,2020-02-20,1,1
GraphOne,2020-02-21,3,2
GraphOne,2020-02-22,3,1
GraphOne,2020-02-23,1,1
GraphOne,2020-02-24,66,9
GraphOne,2020-02-25,38,7
GraphOne,2020-02-26,5,3
GraphOne,2020-02-27,4,4
GraphOne,2020-02-28,9,2
GraphOne,2020-02-29,10,3
GraphOne,2020-03-01,8,1
