repository_name,date,clones,unique_visitors/cloners
GraphOne,2020-03-17,4,1
GraphOne,2020-03-19,1,1
GraphOne,2020-03-20,3,3
GraphOne,2020-03-23,1,1
GraphOne,2020-03-25,1,1
GraphOne,2020-03-26,3,3
GraphOne,2020-03-27,1,1
GraphOne,2020-03-31,1,1
