repository_name,date,clones,unique_visitors/cloners
GraphOne,2020-03-23,1,1
GraphOne,2020-03-25,1,1
GraphOne,2020-03-26,3,3
GraphOne,2020-03-27,1,1
GraphOne,2020-03-31,2,2
GraphOne,2020-04-01,2,2
GraphOne,2020-04-02,1,1
