repository_name,date,views,unique_visitors/cloners
GraphOne,2020-03-18,9,1
GraphOne,2020-03-19,4,1
GraphOne,2020-03-20,11,3
GraphOne,2020-03-21,1,1
GraphOne,2020-03-22,1,1
GraphOne,2020-03-23,28,3
GraphOne,2020-03-24,38,3
GraphOne,2020-03-25,4,1
GraphOne,2020-03-26,21,1
GraphOne,2020-03-27,11,1
GraphOne,2020-03-28,19,6
GraphOne,2020-03-30,6,1
GraphOne,2020-03-31,1,1
