repository_name,date,views,unique_visitors/cloners
GraphOne,2020-07-07,12,2
GraphOne,2020-07-08,14,3
GraphOne,2020-07-09,9,1
GraphOne,2020-07-10,10,1
GraphOne,2020-07-11,1,1
GraphOne,2020-07-12,1,1
GraphOne,2020-07-13,5,2
GraphOne,2020-07-14,1,1
GraphOne,2020-07-15,4,3
GraphOne,2020-07-16,3,2
GraphOne,2020-07-17,6,4
GraphOne,2020-07-18,1,1
GraphOne,2020-07-19,5,3
