repository_name,date,views,unique_visitors/cloners
GraphOne,2020-03-22,1,1
GraphOne,2020-03-23,28,3
GraphOne,2020-03-24,38,3
GraphOne,2020-03-25,4,1
GraphOne,2020-03-26,21,1
GraphOne,2020-03-27,11,1
GraphOne,2020-03-28,19,6
GraphOne,2020-03-30,6,1
GraphOne,2020-03-31,6,3
GraphOne,2020-04-01,5,2
GraphOne,2020-04-02,16,6
GraphOne,2020-04-03,12,3
GraphOne,2020-04-04,2,1
